NOME,TIPO,APLICACAO,categoria,codigo_fabricante,descricao,link,imagem,Destaque
Insta Q96® AG 6.0,Equipamentos,"Amplificação, qPCR",Himedia,MBLA028-1NO,,https://www.himedialabs.com/us/insta-q96r-ag-6-0.html,\Imagens\produtos\G1245-500G.jpg,F
HiPurA® Pre-filled Clinical Multi-purpose Nucleic Acid Purification Kit (Mag96 Plus),Reagentes laboratoriais,"Extração, PCR, qPCR, ddPCR",Himedia,MB583MPF96200-5NO,,https://www.himedialabs.com/us/hipurar-pre-filled-clinical-multi-purpose-nucleic-acid-purification-kit.html,\Imagens\produtos\M1363-500G.jpg,F
HiPurA® Pre-filled Plates for Viral Nucleic Acid Purification (Mag96 Plus),Reagentes laboratoriais,"Extração, PCR, qPCR, ddPCR",Himedia,MB582MPF-96-5NO,,https://www.himedialabs.com/us/hipurar-pre-filled-plates-for-viral-nucleic-acid-purification-for-insta-nxr-mag96.html,\Imagens\produtos\invitek.jpg,F
HiPurA® SuperPlant Pre-filled Plates for DNA Purification (Mag96 Plus),Reagentes laboratoriais,"Extração, PCR, qPCR, ddPCR",Himedia,MB571MPF-96-5NO,,https://www.himedialabs.com/us/hipurar-superplant-pre-filled-plates-for-plant-dna-extraction-for-insta-nxr-mag96.html,\Imagens\produtos\AL006A-500ML.jpg,F
HiPurA® Pre-filled Clinical Multi-purpose Nucleic Acid Purification Kit (Mag16 Plus),Reagentes laboratoriais,"Extração, PCR, qPCR, ddPCR",Himedia,MB583MPF16200-96PR,,https://www.himedialabs.com/us/catalogsearch/result/?category_ids=&q=MB583MPF16200,\Imagens\produtos\AL028A.jpg,F
HiPurA® Pre-filled Plates for Viral Nucleic Acid Purification (Mag16 Plus),Reagentes laboratoriais,"Extração, PCR, qPCR, ddPCR",Himedia,MB582MPF16-96PR,,https://www.himedialabs.com/us/hipura-pre-filled-plates-for-viral-nucleic-acid-purification-mb582mpf16.html,\Imagens\produtos\TCL280-500ML.JPG,F
HiPurA® Multi-sample Pre-filled Plates for DNA Extraction  (Mag16 Plus),Reagentes laboratoriais,"Extração, PCR, qPCR, ddPCR",Himedia,MB554MPF16200-96PR,,https://www.himedialabs.com/us/hipura-multi-sample-pre-filled-plates-for-dna-extraction-mb554mpf16200.html,\Imagens\produtos\MH033-500G.jpg,F
HiPurA® Pre-filled Plates for Stool Nucleic Acid Purification (Mag16 Plus),Reagentes laboratoriais,"Extração, PCR, qPCR, ddPCR",Himedia,MB544MPF16-96PR,,https://www.himedialabs.com/us/hipura-pre-filled-plates-for-stool-nucleic-acid-purification.html,\Imagens\produtos\TCL280-500ML.JPG,F
HiPurA® Pre-filled Plates for Soil DNA Purification (Mag16 Plus),Reagentes laboratoriais,"Extração, PCR, qPCR, ddPCR",Himedia,MB542MPF16-96PR,,https://www.himedialabs.com/us/hipurar-pre-filled-plates-for-soil-dna-purification.html,\Imagens\produtos\invitek.jpg,F
HiPurA® SuperPlant Pre-filled Plates for DNA Purification (Mag16 Plus),Reagentes laboratoriais,"Extração, PCR, qPCR, ddPCR",Himedia,MB571MPF16-96PR,,https://www.himedialabs.com/us/hipura-pre-filled-cartridges-for-food-pathogen-purification-mb571mpf16.html,\Imagens\produtos\TCL280-500ML.JPG,F
HiPurA® Pre- filled Cartridges for Paraffin-Embedded Tissue Nucleic Acid Purification (Mag16 Plus),Reagentes laboratoriais,"Extração, PCR, qPCR, ddPCR",Himedia,MB530MPF16-96PR,,https://www.himedialabs.com/us/hipurar-pre-filled-cartridges-for-paraffin-embedded-tissue-nucleic-acid-purification.html,\Imagens\produtos\rabbits2.jpg,F
HiPurA® Pre-filled Plates for Tissue RNA purification (Mag16 Plus),Reagentes laboratoriais,"Extração, PCR, qPCR, ddPCR",Himedia,MB618MPF16200-96PR,,https://www.himedialabs.com/us/hipura-pre-filled-plates-for-tissue-rna-purification-mb618mpf16200.html,\Imagens\produtos\MB554-20PR.JPG,F
HiPurA® DNA/ RNA Purification Kit,Reagentes laboratoriais,"Extração, PCR, qPCR, ddPCR",Himedia,MB583-50PR,,https://www.himedialabs.com/us/mb583-hipura-dna-rna-purification-kit.html,\Imagens\produtos\MB580-20PR.JPG,T
HiPurA® Viral DNA/ RNA Purification Kit,Reagentes laboratoriais,"Extração, PCR, qPCR, ddPCR",Himedia,MB582-50PR,,https://www.himedialabs.com/us/mb582-hipura-viral-dna-rna-purification-kit.html,\Imagens\produtos\MB530-20PR.JPG,F
HiPurA® Multi-Sample DNA Purification Kit,Reagentes laboratoriais,"Extração, PCR, qPCR, ddPCR",Himedia,MB554-50PR,,https://www.himedialabs.com/us/mb554-hipura-multi-sample-dna-purification-kit.html,\Imagens\produtos\MB619-20PR.JPG,F
HiPurA® Forensic Multi Sample DNA Purification Kit,Reagentes laboratoriais,"Extração, PCR, qPCR, ddPCR",Himedia,MB580-50PR,,https://www.himedialabs.com/us/mb580-hipura-forensic-multi-sample-dna-purification-kit.html,\Imagens\produtos\MB618-20PR.JPG,F
